0,191141745
1,190681178
2,190221620
3,189763064
4,189305511
5,188848964
6,188393417
7,187938870
8,187485327
9,187032785
10,186581245
11,186130706
12,185681170
13,185232634
14,184785099
15,184338568
16,183893041
17,183448519
18,183004999
19,182562482
20,182120967
21,181680456
22,181240947
23,180802441
24,180364937
25,179928434
26,179492933
27,179058432
28,178624932
29,178192437
30,177760943
31,177330451
32,176900961
33,176472477
34,176044994
35,175618513
36,175193036
37,174768562
38,174345089
39,173922619
40,173501152
41,173080687
42,172661224
43,172242762
44,171825303
45,171408851
46,170993399
47,170578949
48,170165500
49,169753051
50,169341603
51,168931157
52,168521713
53,168113270
54,167705831
55,167299392
56,166893955
57,166489519
58,166086084
59,165683654
60,165282226
61,164881800
62,164482375
63,164083951
64,163686528
65,163290105
66,162894688
67,162500274
68,162106865
69,161714456
70,161323050
71,160932647
72,160543245
73,160154845
74,159767446
75,159381049
76,158995652
77,158611257
78,158227864
79,157845472
80,157464084
81,157083697
82,156704310
83,156325924
84,155948539
85,155572157
86,155196776
87,154822397
88,154449019
89,154076642
90,153705266
91,153334890
92,152965515
93,152597141
94,152229769
95,151863400
96,151498032
97,151133665
98,150770302
99,150407942
100,150046587
101,149686234
102,149326886
103,148968540
104,148611196
105,148254853
106,147899512
107,147545171
108,147191831
109,146839492
110,146488157
111,146137826
112,145788499
113,145440176
114,145092853
115,144746532
116,144401215
117,144056900
118,143713587
119,143371274
120,143029965
121,142689657
122,142350350
123,142012044
124,141674742
125,141338442
126,141003144
127,140668847
128,140335550
129,140003257
130,139671965
131,139341674
132,139012385
133,138684099
134,138356814
135,138030529
136,137705245
137,137380967
138,137057690
139,136735413
140,136414138
141,136093863
142,135774588
143,135456313
144,135139038
145,134822765
146,134507493
147,134193225
148,133879957
149,133567690
150,133256423
151,132946158
152,132636893
153,132328630
154,132021367
155,131715104
156,131409841
157,131105579
158,130802320
159,130500062
160,130198805
161,129898549
162,129599294
163,129301040
164,129003786
165,128707533
166,128412280
167,128118027
168,127824774
169,127532522
170,127241272
171,126951025
172,126661780
173,126373535
174,126086291
175,125800047
176,125514806
177,125230565
178,124947326
179,124665089
180,124383854
181,124103619
182,123824385
183,123546151
184,123268917
185,122992685
186,122717454
187,122443223
188,122169993
189,121897764
190,121626537
191,121356311
192,121087087
193,120818863
194,120551639
195,120285416
196,120020195
197,119755977
198,119492759
199,119230541
200,118969323
201,118709106
202,118449889
203,118191673
204,117934458
205,117678245
206,117423032
207,117168819
208,116915607
209,116663398
210,116412190
211,116161982
212,115912775
213,115664569
214,115417365
215,115171164
216,114925963
217,114681764
218,114438567
219,114196371
220,113955177
221,113714984
222,113475792
223,113237600
224,113000408
225,112764218
226,112529028
227,112294840
